datetime,precipRate
2025-05-02 00:59:56,0.0
2025-05-02 01:59:54,0.0
2025-05-02 02:59:51,0.0
2025-05-02 03:59:49,0.0
2025-05-02 04:59:46,0.0
2025-05-02 05:59:44,0.0
2025-05-02 06:59:57,0.0
2025-05-02 07:59:48,0.0
2025-05-02 08:59:45,0.0
2025-05-02 09:59:58,0.0
2025-05-02 10:59:56,0.0
2025-05-02 11:59:54,0.0
2025-05-02 12:59:51,0.0
2025-05-02 13:59:49,0.0
2025-05-02 14:59:46,0.0
2025-05-02 15:59:59,0.0
2025-05-02 16:59:57,0.0
2025-05-02 17:59:54,0.0
2025-05-02 18:59:52,0.0
2025-05-02 19:59:49,0.0
2025-05-02 20:59:47,0.0
2025-05-02 21:59:44,0.0
2025-05-02 22:59:58,0.0
2025-05-02 23:59:55,0.0
2025-05-03 00:59:53,0.0
2025-05-03 01:59:50,0.0
2025-05-03 02:59:49,0.0
2025-05-03 03:59:47,0.0
2025-05-03 04:59:44,0.0
2025-05-03 05:59:57,0.0
2025-05-03 06:59:49,0.0
2025-05-03 07:21:40,0.0
2025-05-03 09:59:56,0.0
2025-05-03 10:34:03,0.0
2025-05-03 11:59:46,0.0
2025-05-03 12:59:44,0.0
2025-05-03 13:59:57,0.0
2025-05-03 14:59:55,0.0
2025-05-03 15:59:52,0.0
2025-05-03 16:59:50,0.0
2025-05-03 17:59:47,0.0
2025-05-03 18:59:45,0.0
2025-05-03 19:59:58,0.0
2025-05-03 20:59:56,0.0
2025-05-03 21:59:53,0.0
2025-05-03 22:59:51,0.0
2025-05-03 23:59:48,0.0
2025-05-04 00:59:46,0.0
2025-05-04 01:59:59,0.0
2025-05-04 02:59:57,0.0
2025-05-04 03:59:54,0.0
2025-05-04 04:59:52,0.0
2025-05-04 05:16:56,0.0
2025-05-04 06:59:59,0.0
2025-05-04 07:59:56,0.0
2025-05-04 08:59:53,0.0
2025-05-04 09:59:51,0.0
2025-05-04 10:59:49,0.0
2025-05-04 11:59:46,0.0
2025-05-04 12:59:44,0.0
2025-05-04 13:59:57,0.0
2025-05-04 14:59:55,0.0
2025-05-04 15:59:52,0.0
2025-05-04 16:59:50,0.0
2025-05-04 17:59:47,0.0
2025-05-04 18:59:45,0.0
2025-05-04 19:59:58,0.0
2025-05-04 20:59:56,0.0
2025-05-04 21:59:53,0.0
2025-05-04 22:59:51,0.0
2025-05-04 23:59:48,0.0
2025-05-05 00:59:46,0.0
2025-05-05 01:59:59,0.0
2025-05-05 02:59:57,0.0
2025-05-05 03:59:54,0.0
2025-05-05 04:59:52,0.0
2025-05-05 05:59:49,0.0
2025-05-05 06:59:48,0.0
2025-05-05 07:59:45,0.0
2025-05-05 08:59:59,0.0
2025-05-05 09:59:56,0.0
2025-05-05 10:59:54,0.0
2025-05-05 11:59:51,0.0
2025-05-05 12:59:49,0.0
2025-05-05 13:59:46,0.0
2025-05-05 14:59:29,0.0
2025-05-05 15:59:45,0.0
2025-05-05 16:59:59,0.0
2025-05-05 17:59:56,0.0
2025-05-05 18:59:54,0.0
2025-05-05 19:59:51,0.0
2025-05-05 20:59:51,0.0
2025-05-05 21:59:48,0.0
2025-05-05 22:59:46,0.0
2025-05-05 23:59:59,0.0
2025-05-06 00:59:57,0.0
2025-05-06 01:59:54,0.0
2025-05-06 02:59:52,0.0
2025-05-06 03:59:49,0.0
2025-05-06 04:59:47,0.0
2025-05-06 05:59:44,0.0
2025-05-06 06:59:59,0.0
2025-05-06 07:59:56,0.0
2025-05-06 08:59:53,0.0
2025-05-06 09:59:51,0.0
2025-05-06 10:59:49,0.0
2025-05-06 11:59:46,0.0
2025-05-06 12:59:44,0.0
2025-05-06 13:59:52,22.81
2025-05-06 14:59:50,13.79
2025-05-06 15:59:48,0.0
2025-05-06 16:59:46,1.8
2025-05-06 17:59:59,1.8
2025-05-06 18:59:57,1.19
2025-05-06 19:59:54,0.0
2025-05-06 20:59:52,1.8
2025-05-06 21:59:49,0.0
2025-05-06 22:59:47,0.0
2025-05-06 23:59:44,0.0
2025-05-07 00:59:58,0.0
2025-05-07 01:59:55,0.0
2025-05-07 02:59:53,0.0
2025-05-07 03:59:50,0.0
2025-05-07 04:59:48,0.0
2025-05-07 05:59:45,0.0
2025-05-07 06:59:44,0.0
2025-05-07 07:59:57,0.0
2025-05-07 08:59:54,0.0
2025-05-07 09:59:52,0.0
2025-05-07 10:59:49,0.0
2025-05-07 11:59:48,0.0
2025-05-07 12:59:45,0.0
2025-05-07 13:59:59,0.0
2025-05-07 14:59:56,0.0
2025-05-07 15:59:54,0.0
2025-05-07 16:59:52,0.0
2025-05-07 17:59:49,0.0
2025-05-07 18:59:47,0.0
2025-05-07 19:59:44,0.0
2025-05-07 20:59:58,0.0
2025-05-07 21:59:55,0.0
2025-05-07 22:59:53,0.0
2025-05-07 23:59:51,0.0
2025-05-08 00:59:49,0.0
2025-05-08 01:59:49,0.0
2025-05-08 02:59:47,0.0
2025-05-08 03:59:44,0.0
2025-05-08 04:59:58,0.0
2025-05-08 05:59:55,0.0
2025-05-08 06:59:53,0.0
2025-05-08 07:59:50,0.0
2025-05-08 08:59:47,0.0
2025-05-08 09:59:45,0.0
2025-05-08 10:59:59,0.0
2025-05-08 11:59:56,0.0
2025-05-08 12:59:54,0.0
2025-05-08 13:55:03,0.0
